# Created by Leonardo Salicari on 2023-01-22
# CMAP manually created to have a reference colormap to draw contour levels
# in the 2D plots. This list is needed to have a consistent change in color
# across different plots with different number of levels.
# Original CMAP: seaborn.color_palette("mako", as_cmap=True)
# Number of levels: 17 (original idea: 6.5/17 = jumps of 0.40625 from 0 to 6.5 included)
# This map was shifted, resulting the the following array:
# Hence:
# [0.07142857, 0.12946429, 0.1875    , 0.24553571, 0.30357143,
# 0.36160714, 0.41964286, 0.47767857, 0.53571429, 0.59375   ,
# 0.65178571, 0.70982143, 0.76785714, 0.82589286, 0.88392857,
# 0.94196429, 1.        ]
# Each line is designed to accommodate a different color level.
#
# Generated using the following code:
# levels = numpy.linspace(0,6.5,17)
# cmap = seaborn.color_palette("mako", as_cmap=True)
# numpy.savetxt("map.txt", cmap((levels+0.5)/(levels[-1]+0.5)))
#
# Columns
# R, G, B, alpha
1.176151599999999964e-01 6.824547999999999726e-02 1.211639300000000030e-01 1.000000000000000000e+00
1.724358599999999964e-01 1.109144299999999944e-01 2.122191099999999886e-01 1.000000000000000000e+00
2.145861099999999966e-01 1.553944499999999895e-01 3.102356299999999845e-01 1.000000000000000000e+00
2.414190300000000067e-01 2.001450800000000030e-01 4.058667000000000247e-01 1.000000000000000000e+00
2.541243499999999989e-01 2.526284300000000149e-01 5.100784299999999716e-01 1.000000000000000000e+00
2.397013100000000008e-01 3.175494999999999846e-01 5.862271999999999483e-01 1.000000000000000000e+00
2.180625700000000111e-01 3.881716900000000137e-01 6.170979399999999560e-01 1.000000000000000000e+00
2.088297600000000032e-01 4.556433500000000025e-01 6.321959900000000410e-01 1.000000000000000000e+00
2.045780399999999888e-01 5.213952699999999663e-01 6.473997900000000305e-01 1.000000000000000000e+00
2.040590399999999971e-01 5.870250599999999874e-01 6.621164499999999675e-01 1.000000000000000000e+00
2.143036100000000055e-01 6.484240399999999793e-01 6.726886100000000202e-01 1.000000000000000000e+00
2.486337200000000025e-01 7.139216600000000135e-01 6.785486800000000152e-01 1.000000000000000000e+00
3.143513900000000083e-01 7.782247799999999494e-01 6.781111800000000356e-01 1.000000000000000000e+00
4.518942100000000184e-01 8.324039800000000433e-01 6.802173299999999534e-01 1.000000000000000000e+00
6.211663299999999888e-01 8.733131100000000036e-01 7.231700300000000192e-01 1.000000000000000000e+00
7.600447299999999462e-01 9.155465600000000093e-01 8.053682300000000183e-01 1.000000000000000000e+00
8.721896900000000175e-01 9.596070799999999457e-01 8.972538399999999692e-01 1.000000000000000000e+00
